Date,Rate
12/1/1986,13.11
12/8/1986,13.15428571
12/15/1986,13.16714286
12/22/1986,13.15857143
12/29/1986,13.12857143
1/5/1987,13.06857143
1/12/1987,13.05
1/19/1987,13.01
1/26/1987,13.04
2/2/1987,13.02
2/9/1987,13.12428571
2/16/1987,13.04571429
2/23/1987,13.06285714
3/2/1987,13.04285714
3/9/1987,12.99428571
3/16/1987,12.96857143
3/23/1987,12.86714286
3/30/1987,12.86142857
4/6/1987,12.91
4/13/1987,12.84142857
4/20/1987,12.83857143
4/27/1987,12.73571429
5/4/1987,12.65428571
5/11/1987,12.6
5/18/1987,12.64571429
5/25/1987,12.61857143
6/1/1987,12.84142857
6/8/1987,12.82142857
6/15/1987,12.75714286
6/22/1987,12.85714286
6/29/1987,12.88571429
7/6/1987,12.89
7/13/1987,12.96714286
7/20/1987,13.02857143
7/27/1987,13.08428571
8/3/1987,13.10714286
8/10/1987,13.11428571
8/17/1987,13.09857143
8/24/1987,13.06142857
8/31/1987,13.05857143
9/7/1987,12.94142857
9/14/1987,12.94714286
9/21/1987,12.96857143
9/28/1987,13.05
10/5/1987,13.09857143
10/12/1987,13.06285714
10/19/1987,13.05428571
10/26/1987,13.02571429
11/2/1987,12.99285714
11/9/1987,12.93
11/16/1987,12.99
11/23/1987,12.95857143
11/30/1987,12.95714286
12/7/1987,12.96285714
12/14/1987,12.95571429
12/21/1987,12.91428571
12/28/1987,12.98285714
1/4/1988,12.79428571
1/11/1988,13.06142857
1/18/1988,13.08571429
1/25/1988,13.03571429
2/1/1988,13.06857143
2/8/1988,13.07
2/15/1988,13.09285714
2/22/1988,13.06857143
2/29/1988,13.03
3/7/1988,13.05285714
3/14/1988,12.89142857
3/21/1988,12.97
3/28/1988,13.02142857
4/4/1988,12.99
4/11/1988,13.12428571
4/18/1988,13.16285714
4/25/1988,13.18857143
5/2/1988,13.23142857
5/9/1988,13.27428571
5/16/1988,13.25571429
5/23/1988,13.34857143
5/30/1988,13.38285714
6/6/1988,13.55857143
6/13/1988,13.60571429
6/20/1988,13.79714286
6/27/1988,13.97142857
7/4/1988,14.12142857
7/11/1988,14.04142857
7/18/1988,14.08571429
7/25/1988,14.05714286
8/1/1988,14.14857143
8/8/1988,14.17571429
8/15/1988,14.15714286
8/22/1988,14.21714286
8/29/1988,14.27714286
9/5/1988,14.40714286
9/12/1988,14.40857143
9/19/1988,14.48571429
9/26/1988,14.57
10/3/1988,14.55428571
10/10/1988,14.56571429
10/17/1988,14.69714286
10/24/1988,14.75428571
10/31/1988,14.86857143
11/7/1988,14.93
11/14/1988,14.96
11/21/1988,15.01428571
11/28/1988,14.99571429
12/5/1988,14.90857143
12/12/1988,15.03714286
12/19/1988,15.05
12/26/1988,15.03571429
1/2/1989,15.01428571
1/9/1989,15.06571429
1/16/1989,15.04857143
1/23/1989,15.1
1/30/1989,15.12428571
2/6/1989,15.19
2/13/1989,15.2
2/20/1989,15.20142857
2/27/1989,15.31
3/6/1989,15.32714286
3/13/1989,15.34714286
3/20/1989,15.49714286
3/27/1989,15.52714286
4/3/1989,15.63571429
4/10/1989,15.65428571
4/17/1989,15.70285714
4/24/1989,15.71428571
5/1/1989,15.84857143
5/8/1989,15.98142857
5/15/1989,16.05285714
5/22/1989,16.12857143
5/29/1989,16.21857143
6/5/1989,16.29428571
6/12/1989,16.39
6/19/1989,16.45857143
6/26/1989,16.45571429
7/3/1989,16.45285714
7/10/1989,16.28428571
7/17/1989,16.39142857
7/24/1989,16.50714286
7/31/1989,16.46
8/7/1989,16.53142857
8/14/1989,16.60571429
8/21/1989,16.70571429
8/28/1989,16.63
9/4/1989,16.67714286
9/11/1989,16.74428571
9/18/1989,16.78142857
9/25/1989,16.77571429
10/2/1989,16.69571429
10/9/1989,16.80142857
10/16/1989,16.85571429
10/23/1989,16.80571429
10/30/1989,16.83571429
11/6/1989,16.90285714
11/13/1989,16.91142857
11/20/1989,16.91714286
11/27/1989,16.93285714
12/4/1989,16.97285714
12/11/1989,16.94285714
12/18/1989,16.92571429
12/25/1989,16.91428571
1/1/1990,16.93
1/8/1990,16.94428571
1/15/1990,16.93428571
1/22/1990,16.98
1/29/1990,16.97857143
2/5/1990,16.96
2/12/1990,16.96142857
2/19/1990,16.96571429
2/26/1990,17.02
3/5/1990,17.07142857
3/12/1990,17.08142857
3/19/1990,17.08714286
3/26/1990,17.15428571
4/2/1990,17.20714286
4/9/1990,17.23857143
4/16/1990,17.25428571
4/23/1990,17.32857143
4/30/1990,17.37714286
5/7/1990,17.35142857
5/14/1990,17.30714286
5/21/1990,17.28428571
5/28/1990,17.3
6/4/1990,17.38
6/11/1990,17.42571429
6/18/1990,17.41857143
6/25/1990,17.43571429
7/2/1990,17.43
7/9/1990,17.42285714
7/16/1990,17.41857143
7/23/1990,17.41
7/30/1990,17.40285714
8/6/1990,17.34714286
8/13/1990,17.35714286
8/20/1990,17.29285714
8/27/1990,17.31428571
9/3/1990,17.47142857
9/10/1990,17.64857143
9/17/1990,17.82
9/24/1990,18.01428571
10/1/1990,18.04428571
10/8/1990,18.06285714
10/15/1990,18.00857143
10/22/1990,18.08285714
10/29/1990,18.11
11/5/1990,18.10571429
11/12/1990,18.12
11/19/1990,18.09428571
11/26/1990,18.04857143
12/3/1990,18.14571429
12/10/1990,18.10142857
12/17/1990,18.1
12/24/1990,18.18428571
12/31/1990,18.15571429
1/7/1991,18.13
1/14/1991,18.26714286
1/21/1991,18.37428571
1/28/1991,18.41428571
2/4/1991,18.58428571
2/11/1991,18.69428571
2/18/1991,18.84285714
2/25/1991,19.07285714
3/4/1991,19.07142857
